file,condition,seg_start,seg_end,seg_dur
NV_1.wav,no_vibrato,2.658,3.258,0.6
NV_10.wav,no_vibrato,2.797,3.397,0.6
NV_11.wav,no_vibrato,2.774,3.374,0.6
NV_12.wav,no_vibrato,2.194,2.794,0.6
NV_13.wav,no_vibrato,2.588,3.188,0.6
NV_14.wav,no_vibrato,2.17,2.77,0.6
NV_15.wav,no_vibrato,2.867,3.467,0.6
NV_2.wav,no_vibrato,2.17,2.77,0.6
NV_3.wav,no_vibrato,2.263,2.863,0.6
NV_4.wav,no_vibrato,2.217,2.817,0.6
NV_5.wav,no_vibrato,2.82,3.42,0.6
NV_6.wav,no_vibrato,2.658,3.258,0.6
NV_7.wav,no_vibrato,2.31,2.91,0.6
NV_8.wav,no_vibrato,2.867,3.467,0.6
NV_9.wav,no_vibrato,2.588,3.188,0.6
V_1.wav,vibrato,2.17,2.77,0.6
V_10.wav,vibrato,2.913,3.513,0.6
V_11.wav,vibrato,2.194,2.794,0.6
V_12.wav,vibrato,2.194,2.794,0.6
V_13.wav,vibrato,3.053,3.653,0.6
V_14.wav,vibrato,2.194,2.794,0.6
V_15.wav,vibrato,2.588,3.188,0.6
V_2.wav,vibrato,2.728,3.328,0.6
V_3.wav,vibrato,2.82,3.42,0.6
V_4.wav,vibrato,2.194,2.794,0.6
V_5.wav,vibrato,2.217,2.817,0.6
V_6.wav,vibrato,2.147,2.747,0.6
V_7.wav,vibrato,2.286,2.886,0.6
V_8.wav,vibrato,2.194,2.794,0.6
V_9.wav,vibrato,2.217,2.817,0.6
