model,variable,condition,mean,sd,median,iqr,min,max
wav2vec2-MSP-dim,Arousal,No Vibrato,0.02047,0.00842,0.01843,0.01092,0.00773,0.03744
wav2vec2-MSP-dim,Arousal,Vibrato,0.02392,0.00536,0.02329,0.00725,0.0149,0.03149
wav2vec2-MSP-dim,Valence,No Vibrato,-0.00356,0.00313,-0.00329,0.00468,-0.00798,0.00233
wav2vec2-MSP-dim,Valence,Vibrato,-0.00392,0.00655,-0.00333,0.00474,-0.0158,0.01072
wav2vec2-MSP-dim,Dominance,No Vibrato,0.0137,0.00744,0.01307,0.00787,0.001,0.02545
wav2vec2-MSP-dim,Dominance,Vibrato,0.01877,0.00984,0.01979,0.01178,-0.00602,0.03171
HuBERT-IEMOCAP,Happy,No Vibrato,0.51849,0.15515,0.56386,0.25056,0.20976,0.70479
HuBERT-IEMOCAP,Happy,Vibrato,0.37916,0.13166,0.34458,0.17096,0.23616,0.62986
HuBERT-IEMOCAP,Neutral,No Vibrato,0.24832,0.06741,0.23093,0.09315,0.14077,0.37629
HuBERT-IEMOCAP,Neutral,Vibrato,0.30494,0.06331,0.31849,0.09178,0.19469,0.40664
HuBERT-IEMOCAP,Sad,No Vibrato,0.21694,0.11258,0.19956,0.15584,0.07764,0.47449
HuBERT-IEMOCAP,Sad,Vibrato,0.29572,0.10907,0.29645,0.13622,0.09612,0.43848
HuBERT-IEMOCAP,Angry,No Vibrato,0.01624,0.01083,0.01035,0.0108,0.00681,0.04543
HuBERT-IEMOCAP,Angry,Vibrato,0.02018,0.02248,0.01615,0.00698,0.00331,0.09859
